,year,district,DBN,School Name,average_score_SAT_math,average_score_SAT_reading,%_students_SAT_math_college_ready,%_students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent,asian_count,white_count,black_count,hispanic_count,homeless_count,sat_math_college_ready_count,sat_reading_college_ready_count,sat_score,%_non_white
69,2019,3,03M307,"Urban Assembly School for Media Studies, The",446.5,449.3,0.102,0.259,407,2.79,2.52,0.054000000000000006,0.155,,0.85,0.133,0.757,0.025,0.322,0.607,0.02,0.8490000000000001,0.513,10.175,8.14,131.054,247.049,54.131,41.513999999999996,105.413,895.8,92.9
70,2019,3,03M402,The Urban Assembly School for Green Careers,415.0,436.3,0.084,0.22899999999999998,304,2.71,2.44,0.151,0.23399999999999999,0.006999999999999999,0.83,0.171,0.7340000000000001,0.023,0.28,0.589,0.086,0.816,0.558,6.992,26.144,85.12,179.05599999999998,51.984,25.536,69.616,851.3,86.89999999999999
71,2019,3,03M403,The Global Learning Collaborative,444.1,450.2,0.091,0.28300000000000003,414,2.76,2.58,0.12300000000000001,0.203,0.013999999999999999,0.85,0.14300000000000002,0.758,0.019,0.256,0.662,0.051,0.857,0.392,7.866,21.113999999999997,105.98400000000001,274.06800000000004,59.202000000000005,37.674,117.162,894.3,91.80000000000001
72,2019,3,03M415,Wadleigh Secondary School for the Performing & Vis,431.1,432.9,0.022000000000000002,0.222,227,2.82,2.45,0.022000000000000002,0.21100000000000002,,0.87,0.185,0.78,0.004,0.537,0.401,0.018000000000000002,0.867,0.444,0.908,4.086,121.899,91.027,41.995,4.994000000000001,50.394,864.0,93.8
73,2019,3,03M417,Frank McCourt High School,510.1,524.8,0.389,0.747,413,3.25,3.23,0.028999999999999998,0.213,0.006999999999999999,0.49,0.039,0.361,0.046,0.136,0.46,0.3,0.914,0.231,18.998,123.89999999999999,56.168000000000006,189.98000000000002,16.107,160.657,308.511,1034.9,59.60000000000001
74,2019,3,03M479,Beacon High School,626.0,641.9,0.725,0.784,1423,3.91,3.98,0.001,0.114,0.013000000000000001,0.3,0.02,0.18899999999999997,0.09,0.14300000000000002,0.19699999999999998,0.467,0.968,0.054,128.07,664.541,203.48900000000003,280.33099999999996,28.46,1031.675,1115.632,1267.9,34.0
75,2019,3,03M485,Fiorello H. LaGuardia High School of Music & Art a,642.4,636.8,0.877,0.937,2760,3.93,4.01,0.002,0.037000000000000005,,0.3,0.013999999999999999,0.192,0.195,0.099,0.179,0.455,0.9490000000000001,0.106,538.2,1255.8,273.24,494.03999999999996,38.63999999999999,2420.52,2586.1200000000003,1279.1999999999998,27.8
76,2019,3,03M492,"High School for Law, Advocacy and Community Justic",451.8,472.0,0.11,0.42200000000000004,429,2.87,2.57,0.065,0.17,,0.83,0.17,0.7340000000000001,0.047,0.336,0.573,0.026000000000000002,0.855,0.42,20.163,11.154000000000002,144.144,245.81699999999998,72.93,47.19,181.038,923.8,90.89999999999999
77,2019,3,03M494,High School of Arts and Technology,418.1,436.0,0.051,0.22,492,2.66,2.45,0.087,0.252,0.026000000000000002,0.85,0.16699999999999998,0.748,0.063,0.319,0.5529999999999999,0.039,0.8109999999999999,0.519,30.996,19.188,156.948,272.07599999999996,82.16399999999999,25.092,108.24,854.1,87.2
78,2019,3,03M541,Manhattan / Hunter Science High School,651.7,615.6,0.97,0.94,441,3.84,3.98,,0.138,,0.54,0.040999999999999995,0.408,0.272,0.163,0.306,0.209,0.9740000000000001,0.05,119.95200000000001,92.169,71.883,134.946,18.080999999999996,427.77,414.53999999999996,1267.3000000000002,46.900000000000006
79,2019,3,03M859,Special Music School,543.2,547.9,0.5,0.7140000000000001,181,3.62,3.51,0.006,0.14400000000000002,0.006,0.36,0.05,0.182,0.094,0.105,0.155,0.475,0.9309999999999999,0.222,17.014,85.975,19.005,28.055,9.05,90.5,129.234,1091.1,26.0
80,2019,3,03M860,Frederick Douglass Academy II Secondary School,436.6,441.2,0.040999999999999995,0.18899999999999997,290,2.51,2.27,0.107,0.255,0.003,0.88,0.18600000000000003,0.779,0.021,0.624,0.32799999999999996,0.017,0.8190000000000001,0.495,6.090000000000001,4.930000000000001,180.96,95.11999999999999,53.940000000000005,11.889999999999999,54.809999999999995,877.8,95.2
81,2019,4,04M372,Esperanza Preparatory Academy,420.8,433.8,0.043,0.247,354,2.52,2.32,0.336,0.192,0.085,0.94,0.215,0.847,0.003,0.09,0.893,0.013999999999999999,0.877,0.413,1.062,4.9559999999999995,31.86,316.122,76.11,15.222,87.438,854.6,98.30000000000001
82,2019,4,04M435,Manhattan Center for Science and Mathematics,601.0,569.5,0.772,0.79,1650,3.45,3.58,0.068,0.141,0.004,0.76,0.09300000000000001,0.628,0.201,0.193,0.5329999999999999,0.057999999999999996,0.938,0.163,331.65000000000003,95.69999999999999,318.45,879.4499999999998,153.45000000000002,1273.8,1303.5,1170.5,72.6
83,2019,4,04M495,Park East High School,481.6,483.1,0.21100000000000002,0.541,389,3.03,2.97,0.040999999999999995,0.18,,0.78,0.09300000000000001,0.645,0.067,0.254,0.617,0.026000000000000002,0.943,0.128,26.063000000000002,10.114,98.806,240.013,36.17700000000001,82.07900000000001,210.449,964.7,87.10000000000001
84,2019,4,04M555,Central Park East High School,554.1,538.5,0.637,0.779,508,3.47,3.53,0.018000000000000002,0.157,0.002,0.74,0.073,0.61,0.177,0.258,0.494,0.045,0.9690000000000001,0.067,89.916,22.86,131.064,250.952,37.083999999999996,323.596,395.732,1092.6,75.2
85,2019,4,04M610,Young Women's Leadership School,520.1,519.2,0.425,0.616,314,3.28,3.18,0.016,0.17800000000000002,,0.78,0.054000000000000006,0.653,0.086,0.239,0.589,0.038,0.938,0.204,27.003999999999998,11.932,75.04599999999999,184.946,16.956000000000003,133.45,193.424,1039.3000000000002,82.8
86,2019,4,04M680,"Heritage School, The",446.8,461.0,0.127,0.35200000000000004,313,2.6,2.32,0.07,0.22,,0.88,0.163,0.802,0.042,0.265,0.649,0.032,0.8859999999999999,0.297,13.146,10.016,82.94500000000001,203.137,51.019,39.751,110.17600000000002,907.8,91.4
87,2019,5,05M148,Eagle Academy for Young Men of Harlem,,,,,191,2.6,2.24,0.026000000000000002,0.262,0.042,0.78,0.094,0.66,,0.733,0.22,0.01,0.825,0.588,,1.9100000000000001,140.003,42.02,17.954,,,,95.3
88,2019,5,05M157,The Urban Assembly School for Global Commerce,429.4,448.8,0.022000000000000002,0.239,250,2.57,2.27,0.1,0.276,0.036000000000000004,0.92,0.14400000000000002,0.84,0.012,0.49200000000000005,0.456,0.027999999999999997,0.7659999999999999,0.659,3.0,6.999999999999999,123.00000000000001,114.0,36.00000000000001,5.500000000000001,59.75,878.2,94.8
89,2019,5,05M304,Mott Hall High School,441.5,444.1,0.11699999999999999,0.26,288,2.51,2.27,0.201,0.319,0.021,0.91,0.24,0.826,0.042,0.344,0.569,0.027999999999999997,0.845,0.389,12.096,8.064,99.07199999999999,163.87199999999999,69.12,33.696,74.88,885.6,91.29999999999998
90,2019,5,05M362,Columbia Secondary School,649.8,640.1,0.89,0.95,421,3.77,4.0,0.005,0.133,0.002,0.51,0.043,0.35200000000000004,0.102,0.18100000000000002,0.397,0.264,0.924,0.238,42.942,111.144,76.20100000000001,167.137,18.102999999999998,374.69,399.95,1289.9,57.800000000000004
91,2019,5,05M369,Urban Assembly School for the Performing Arts,429.4,444.3,0.053,0.213,387,2.65,2.31,0.075,0.243,0.047,0.87,0.158,0.7829999999999999,0.008,0.478,0.475,0.008,0.8270000000000001,0.521,3.096,3.096,184.986,183.825,61.146,20.511,82.431,873.7,95.3
92,2019,5,05M499,Frederick Douglass Academy,491.6,491.9,0.31,0.552,981,2.88,2.68,0.047,0.16,0.006,0.78,0.129,0.664,0.015,0.69,0.261,0.021,0.8909999999999999,0.329,14.715,20.601000000000003,676.89,256.041,126.549,304.11,541.5120000000001,983.5,95.10000000000001
93,2019,5,05M670,Thurgood Marshall Academy for Learning and Social,471.1,491.7,0.198,0.48100000000000004,386,2.83,2.47,0.039,0.215,0.018000000000000002,0.77,0.127,0.619,0.018000000000000002,0.6629999999999999,0.293,0.008,0.9109999999999999,0.252,6.948,3.088,255.91799999999998,113.098,49.022,76.428,185.66600000000003,962.8,95.6
94,2019,5,05M692,"High School for Mathematics, Science and Engineeri",738.4,677.9,,,491,3.99,4.27,0.002,0.055,,0.4,0.035,0.26899999999999996,0.297,0.086,0.16699999999999998,0.301,0.9520000000000001,0.122,145.827,147.791,42.226,81.99699999999999,17.185000000000002,,,1416.3,25.299999999999997
95,2019,6,06M211,Inwood Early College for Health and Information Te,451.3,445.5,0.155,0.299,414,2.79,2.69,0.11599999999999999,0.256,0.002,0.82,0.12300000000000001,0.71,0.005,0.11800000000000001,0.843,0.013999999999999999,0.8220000000000001,0.534,2.07,5.795999999999999,48.852000000000004,349.002,50.922000000000004,64.17,123.786,896.8,96.10000000000001
96,2019,6,06M293,City College Academy of the Arts,555.3,540.1,0.622,0.8240000000000001,346,3.37,3.45,0.028999999999999998,0.142,,0.78,0.084,0.6709999999999999,0.017,0.049,0.89,0.035,0.9359999999999999,0.185,5.882000000000001,12.110000000000001,16.954,307.94,29.064,215.212,285.10400000000004,1095.4,93.9
97,2019,6,06M346,Community Health Academy of the Heights,463.9,474.1,0.18600000000000003,0.392,435,2.83,2.55,0.179,0.166,0.002,0.91,0.163,0.802,0.009000000000000001,0.057,0.915,0.016,0.8170000000000001,0.511,3.9150000000000005,6.96,24.795,398.02500000000003,70.905,80.91000000000001,170.52,938.0,97.20000000000002
98,2019,6,06M348,Washington Heights Expeditionary Learning School,482.8,482.7,0.292,0.483,381,2.9,2.88,0.094,0.18899999999999997,0.013000000000000001,0.86,0.147,0.7609999999999999,0.005,0.045,0.9420000000000001,0.003,0.892,0.307,1.905,1.143,17.145,358.90200000000004,56.007,111.252,184.023,965.5,98.70000000000002
99,2019,6,06M462,The College Academy,415.5,407.7,0.06,0.1,427,2.31,2.18,0.522,0.18,0.026000000000000002,0.93,0.302,0.81,0.002,0.066,0.899,0.021,0.821,0.518,0.854,8.967,28.182000000000002,383.873,128.954,25.619999999999997,42.7,823.2,96.5
100,2019,6,06M463,High School for Media and Communications,399.9,396.5,0.055999999999999994,0.079,396,2.46,2.14,0.49700000000000005,0.177,0.003,0.93,0.331,0.818,0.008,0.09300000000000001,0.8759999999999999,0.013000000000000001,0.899,0.221,3.168,5.148000000000001,36.828,346.89599999999996,131.076,22.176,31.284,796.4,96.89999999999999
101,2019,6,06M467,High School for Law and Public Service,429.2,436.2,0.043,0.171,481,2.51,2.3,0.389,0.258,0.10800000000000001,0.92,0.27,0.823,0.006,0.139,0.8320000000000001,0.021,0.799,0.607,2.886,10.101,66.85900000000001,400.192,129.87,20.683,82.251,865.4,97.10000000000001
102,2019,6,06M468,High School for Health Careers and Sciences,427.5,415.2,0.099,0.17300000000000001,423,2.48,2.26,0.41100000000000003,0.184,0.006999999999999999,0.92,0.24600000000000002,0.8109999999999999,0.019,0.149,0.8109999999999999,0.012,0.887,0.285,8.036999999999999,5.0760000000000005,63.026999999999994,343.053,104.058,41.877,73.179,842.7,96.0
103,2019,6,06M540,A. Philip Randolph Campus High School,479.4,484.9,0.262,0.485,1503,2.85,2.66,0.142,0.156,0.019,0.86,0.152,0.77,0.055,0.27699999999999997,0.633,0.023,0.857,0.417,82.665,34.569,416.33099999999996,951.399,228.456,393.786,728.9549999999999,964.3,91.0
104,2019,6,06M552,Gregorio Luperon High School for Science and Mathe,417.4,405.4,0.049,0.09699999999999999,521,2.0,2.13,0.7809999999999999,0.023,0.004,0.99,0.418,0.7809999999999999,,,1.0,,0.915,0.222,,,,521.0,217.778,25.529,50.53699999999999,822.8,
105,2019,7,07X221,South Bronx Preparatory: A College Board School,437.0,436.8,0.10099999999999999,0.247,389,2.81,2.56,0.054000000000000006,0.239,,0.92,0.111,0.825,0.018000000000000002,0.257,0.7040000000000001,0.015,0.9229999999999999,0.204,7.002000000000001,5.835,99.973,273.85600000000005,43.179,39.288999999999994,96.083,873.8,96.10000000000002
106,2019,7,07X223,The Laboratory School of Finance and Technology: X,497.6,491.4,0.365,0.506,368,3.08,3.24,0.063,0.182,,0.9,0.109,0.818,0.008,0.185,0.802,0.003,0.903,0.299,2.944,1.104,68.08,295.136,40.112,134.32,186.208,989.0,98.7
107,2019,7,07X259,"H.E.R.O. High (Health, Education, and Research Occ",420.9,433.3,0.064,0.245,530,2.71,2.45,0.1,0.20800000000000002,0.008,0.87,0.192,0.768,0.015,0.389,0.5720000000000001,0.008,0.851,0.413,7.949999999999999,4.24,206.17000000000002,303.16,101.76,33.92,129.85,854.2,96.10000000000001
108,2019,7,07X334,International Community High School,396.8,391.6,0.025,0.05,425,1.79,1.82,0.8140000000000001,0.08,0.006999999999999999,0.98,0.313,0.765,0.04,0.162,0.753,0.024,0.8909999999999999,0.31,17.0,10.200000000000001,68.85000000000001,320.025,133.025,10.625,21.25,788.4000000000001,91.5
109,2019,7,07X427,Community School for Social Justice,411.9,430.4,0.042,0.19699999999999998,327,2.42,2.13,0.205,0.257,0.018000000000000002,0.92,0.205,0.85,,0.22899999999999998,0.746,0.006,0.812,0.549,,1.962,74.883,243.942,67.035,13.734,64.419,842.3,97.5
110,2019,7,07X473,Mott Haven Village Preparatory High School,416.9,419.8,0.013000000000000001,0.152,315,2.41,2.06,0.2,0.317,0.013000000000000001,0.93,0.162,0.857,0.013000000000000001,0.251,0.698,0.013000000000000001,0.767,0.603,4.095000000000001,4.095000000000001,79.065,219.86999999999998,51.03,4.095000000000001,47.879999999999995,836.7,94.89999999999998
111,2019,7,07X495,University Heights Secondary School,477.6,508.9,0.257,0.629,519,3.35,3.31,0.025,0.185,0.002,0.81,0.073,0.6990000000000001,0.052000000000000005,0.256,0.636,0.019,0.937,0.183,26.988000000000003,9.860999999999999,132.864,330.084,37.887,133.383,326.451,986.5,89.19999999999999
