year,district,DBN,school_name,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent
2015,15,15K463,Secondary School for Journalism,285,2.33,2.14,0.126,0.207,0.000,0.694,0.091,0.544,0.074,0.467,0.375,0.063,0.802,0.569
2015,07,07X522,Bronx Design and Construction Academy,563,2.20,2.19,0.142,0.252,0.039,0.824,0.096,0.680,0.014,0.240,0.705,0.034,0.814,0.569
2015,01,01M292,Henry Street School for International Studies,255,2.18,2.06,0.127,0.298,0.015,0.832,0.190,0.663,0.132,0.244,0.566,0.039,0.766,0.568
2015,09,09X297,Morris Academy for Collaborative Studies,471,2.14,2.00,0.187,0.253,0.051,0.850,0.149,0.686,0.008,0.263,0.720,0.004,0.796,0.565
2015,14,14K477,School for Legal Studies,598,2.26,2.11,0.166,0.189,0.017,0.787,0.196,0.602,0.010,0.458,0.500,0.013,0.779,0.565
2015,14,14K586,Lyons Community School,520,2.20,2.03,0.128,0.214,0.003,0.843,0.157,0.662,0.018,0.398,0.558,0.024,0.799,0.565
2015,16,16K688,The Brooklyn Academy of Global Finance,152,2.11,2.03,0.112,0.303,0.059,0.795,0.184,0.612,0.059,0.717,0.204,0.020,0.805,0.560
2015,13,13K350,Urban Assembly High School of Music and Art,387,2.30,2.11,0.026,0.240,0.052,0.751,0.098,0.605,0.005,0.775,0.207,0.005,0.816,0.557
2015,12,12X251,Explorations Academy,358,2.13,2.07,0.182,0.235,0.003,0.814,0.151,0.651,0.008,0.271,0.698,0.020,0.824,0.557
2015,12,12X248,"Metropolitan High School, The",326,2.11,2.09,0.218,0.276,0.049,0.828,0.120,0.678,0.009,0.215,0.748,0.003,0.827,0.557
2015,19,19K507,Performing Arts and Technology High School,406,2.24,2.09,0.025,0.207,0.032,0.763,0.113,0.621,0.002,0.808,0.182,0.005,0.812,0.556
2015,19,19K659,Cypress Hills Collegiate Preparatory School,330,2.21,2.04,0.209,0.188,0.009,0.772,0.106,0.633,0.045,0.197,0.712,0.033,0.783,0.551
2015,03,03M307,"Urban Assembly School for Media Studies, The",412,2.25,2.13,0.095,0.206,0.002,0.723,0.083,0.573,0.019,0.364,0.578,0.017,0.841,0.551
2015,02,02M429,Legacy School for Integrated Studies,19,2.19,2.03,0.000,0.474,0.000,0.729,0.000,0.632,0.000,0.368,0.632,0.000,0.828,0.550
2015,02,02M529,Jacqueline Kennedy Onassis High School,676,2.29,2.16,0.059,0.186,0.024,0.771,0.093,0.620,0.040,0.213,0.701,0.036,0.802,0.550
2015,13,13K499,ACORN Community High School,504,2.23,2.08,0.034,0.272,0.040,0.751,0.165,0.562,0.010,0.835,0.129,0.016,0.792,0.549
2015,22,22K495,Sheepshead Bay High School,562,2.23,2.15,0.240,0.169,0.101,0.629,0.093,0.473,0.148,0.523,0.192,0.133,0.774,0.548
2015,12,12X684,Wings Academy,501,2.18,2.10,0.034,0.242,0.022,0.813,0.124,0.661,0.008,0.585,0.379,0.012,0.819,0.546
2015,84,84M433,Renaissance Charter High School for Innovation,444,2.13,1.99,0.088,0.347,0.045,0.825,0.101,0.682,0.014,0.387,0.579,0.009,0.826,0.546
2015,02,02M316,"Urban Assembly School of Business for Young Women,",405,2.30,2.19,0.044,0.185,0.002,0.736,0.101,0.578,0.035,0.528,0.393,0.022,0.799,0.545
2015,10,10X284,Bronx School of Law and Finance,426,2.24,2.13,0.089,0.246,0.063,0.819,0.129,0.660,0.021,0.303,0.648,0.026,0.820,0.544
2015,17,17K533,School for Democracy and  Leadership,319,2.25,2.14,0.054,0.236,0.019,0.653,0.140,0.434,0.008,0.876,0.074,0.023,0.799,0.543
2015,08,08X432,BRONX BRIDGES HIGH SCHOOL,333,1.80,1.98,0.823,0.117,0.006,0.834,0.270,0.631,0.078,0.066,0.829,0.018,0.832,0.540
2015,32,32K552,Academy of Urban Planning,279,2.04,1.94,0.290,0.287,0.043,0.808,0.154,0.649,0.007,0.233,0.738,0.007,0.821,0.539
2015,19,19K618,Academy of Innovative Technology,413,2.24,2.10,0.099,0.242,0.024,0.689,0.085,0.516,0.053,0.455,0.455,0.012,0.823,0.539
2015,32,32K403,Academy for Environmental Leadership,340,2.07,2.01,0.324,0.256,0.076,0.786,0.126,0.626,0.018,0.194,0.771,0.015,0.815,0.539
2015,21,21K348,High School of Sports Management,290,2.20,2.12,0.041,0.190,0.003,0.703,0.103,0.552,0.038,0.724,0.169,0.055,0.809,0.537
2015,02,02M419,Landmark High School,355,2.23,2.07,0.104,0.245,0.006,0.804,0.099,0.687,0.037,0.242,0.685,0.017,0.819,0.534
2015,18,18K589,Arts & Media Preparatory Academy,279,2.29,2.06,0.039,0.194,0.007,0.751,0.125,0.591,0.011,0.828,0.125,0.014,0.843,0.531
2015,02,02M655,Life Sciences Secondary School,697,2.38,2.28,0.070,0.180,0.053,0.765,0.106,0.604,0.043,0.283,0.622,0.032,0.825,0.529
2015,23,23K514,Frederick Douglass Academy VII High School,319,2.24,2.07,0.022,0.276,0.025,0.710,0.154,0.533,0.000,0.881,0.113,0.003,0.781,0.528
2015,19,19K510,World Academy for Total Community Health High Scho,284,2.20,2.08,0.113,0.236,0.011,0.710,0.113,0.539,0.025,0.757,0.190,0.014,0.812,0.524
2015,07,07X600,Alfred E. Smith Career and Technical Education Hig,375,2.08,2.03,0.192,0.283,0.069,0.798,0.147,0.640,0.011,0.291,0.683,0.008,0.830,0.523
2015,09,09X329,DreamYard Preparatory School,336,2.17,2.04,0.214,0.196,0.030,0.859,0.244,0.682,0.015,0.336,0.607,0.012,0.792,0.523
2015,04,04M680,"Heritage School, The",322,2.20,2.06,0.059,0.292,0.000,0.806,0.140,0.652,0.012,0.323,0.637,0.019,0.827,0.522
2015,08,08X405,Herbert H. Lehman High School,1535,2.25,2.13,0.103,0.253,0.116,0.707,0.078,0.545,0.092,0.236,0.549,0.106,0.794,0.521
2015,08,08X376,Antonia Pantoja Preparatory Academy: A College Boa,450,2.20,2.05,0.143,0.253,0.013,0.756,0.160,0.540,0.063,0.262,0.654,0.013,0.809,0.521
2015,16,16K765,Nelson Mandela High School,124,2.19,2.16,0.016,0.210,0.048,0.811,0.121,0.653,0.000,0.863,0.105,0.024,0.855,0.520
2015,28,28Q328,High School for Community Leadership,418,2.31,2.22,0.156,0.151,0.005,0.563,0.084,0.409,0.227,0.423,0.266,0.045,0.830,0.520
2015,09,09X412,Bronx High School of Business,339,2.07,2.01,0.298,0.263,0.091,0.825,0.186,0.596,0.015,0.333,0.631,0.012,0.789,0.517
2015,10,10X439,Bronx High School for Law and Community Service,398,2.16,2.06,0.151,0.271,0.028,0.863,0.186,0.724,0.013,0.244,0.709,0.018,0.834,0.515
2015,18,18K642,Urban Action Academy,309,2.22,2.09,0.107,0.201,0.039,0.601,0.091,0.434,0.029,0.790,0.123,0.042,0.836,0.515
2015,19,19K502,FDNY High School for Fire and Life Safety,324,2.14,2.03,0.046,0.259,0.031,0.772,0.117,0.630,0.012,0.716,0.244,0.019,0.806,0.511
2015,04,04M372,ESPERANZA PREPARATORY ACADEMY,507,2.15,2.15,0.418,0.219,0.089,0.836,0.253,0.646,0.013,0.131,0.831,0.021,0.853,0.510
2015,12,12X511,Bronx Envision Academy,355,2.22,2.14,0.130,0.211,0.008,0.815,0.169,0.634,0.020,0.344,0.603,0.020,0.820,0.507
2015,07,07X259,"H.E.R.O. High (Health, Education, and Research Occ",231,2.25,2.13,0.113,0.177,0.009,0.817,0.126,0.654,0.022,0.355,0.589,0.017,0.843,0.506
2015,03,03M415,Wadleigh Secondary School for the Performing & Vis,445,2.28,2.08,0.048,0.221,0.098,0.791,0.151,0.631,0.018,0.520,0.442,0.010,0.782,0.506
2015,02,02M437,Hudson High School of Learning Technologies,483,2.28,2.23,0.087,0.222,0.004,0.754,0.143,0.594,0.064,0.292,0.594,0.033,0.826,0.506
