year,district,DBN,school_name,average_score_SAT_math,average_score_SAT_reading,students_SAT_math_college_ready,students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,ELL,disability,self_contained,economic_need_index,temp_housing,HRA_eligible,asian,black,hispanic,white,student_attendance_rate,chronically_absent
2019,9,09X227,Bronx Collegiate Academy,439.5,454.2,0.109,0.327,388,2.57,2.25,0.191,0.219,0.003,0.94,0.175,0.871,0.034,0.232,0.719,0.01,0.845,0.382
2019,9,09X231,Eagle Academy for Young Men,445.8,473.1,0.121,0.409,291,2.49,2.48,0.052,0.234,0.048,0.8,0.107,0.701,0.007,0.55,0.405,0.017,0.896,0.255
2019,9,09X241,Urban Assembly School for Applied Math and Science,473.8,456.1,0.232,0.293,334,2.6,2.78,0.114,0.296,,0.9,0.117,0.802,,0.32,0.668,0.006,0.852,0.436
2019,9,09X250,Eximius College Preparatory Academy: A College Boa,433,440.2,0.078,0.27,430,2.77,2.52,0.086,0.256,,0.87,0.147,0.772,0.009,0.321,0.653,,0.885,0.394
2019,9,09X252,Mott Hall Bronx High School,450.7,459.4,0.137,0.353,379,2.68,2.47,0.111,0.227,0.003,0.9,0.127,0.805,,0.261,0.715,0.011,0.836,0.495
2019,9,09X260,Bronx Center for Science and Mathematics,527.5,526,0.455,0.618,448,3.05,2.97,0.058,0.234,0.038,0.83,0.112,0.719,0.067,0.205,0.676,0.029,0.911,0.281
2019,9,09X263,Validus Preparatory Academy,456.1,465.8,0.122,0.286,361,2.53,2.28,0.152,0.277,0.055,0.92,0.205,0.856,0.006,0.316,0.665,0.006,0.833,0.523
2019,9,09X297,Morris Academy for Collaborative Studies,432.5,440.3,0.107,0.25,409,2.54,2.25,0.171,0.279,0.029,0.91,0.156,0.814,0.017,0.269,0.694,0.017,0.852,0.392
2019,9,09X324,Bronx Early College Academy for Teaching & Learnin,510.6,515.3,0.397,0.619,272,3.07,2.87,0.074,0.154,,0.87,0.107,0.776,0.044,0.268,0.662,0.015,0.9,0.264
2019,9,09X327,Comprehensive Model School Project M.S. 327,509.3,477.5,0.364,0.455,433,2.88,3.09,0.115,0.293,0.092,0.91,0.152,0.822,0.002,0.206,0.778,0.014,0.855,0.513
2019,9,09X329,DreamYard Preparatory School,436.2,472.9,0.095,0.317,271,2.5,2.27,0.225,0.247,0.004,0.95,0.269,0.856,0.007,0.273,0.694,0.018,0.846,0.477
2019,9,09X365,Academy for Language and Technology,400.1,392.2,0.041,0.068,324,1.93,2.12,0.731,0.071,,0.99,0.645,0.821,,,1,,0.89,0.359
2019,9,09X403,Bronx International High School,395.4,385.9,0.011,0.021,418,1.84,1.97,0.914,0.038,,0.99,0.383,0.804,0.029,0.127,0.809,0.031,0.796,0.549
2019,9,09X404,School for Excellence,408,414.4,0.032,0.106,326,2.33,2.04,0.27,0.279,,0.92,0.221,0.862,0.009,0.285,0.681,0.012,0.737,0.653
2019,9,09X412,Bronx High School of Business,406.4,419.3,0.017,0.155,275,2.36,2.09,0.382,0.229,0.018,0.96,0.269,0.873,0.022,0.2,0.738,0.022,0.83,0.423
2019,9,09X413,Bronx High School for Medical Science,493.2,495.2,0.343,0.582,267,3.06,2.98,0.079,0.199,0.079,0.89,0.071,0.809,0.071,0.243,0.637,0.026,0.925,0.212
2019,9,09X505,"Bronx School for Law, Government and Justice",467.2,476.7,0.209,0.395,477,3.1,2.76,0.082,0.205,0.027,0.85,0.13,0.746,0.015,0.245,0.723,0.013,0.895,0.348
2019,9,09X517,Frederick Douglass Academy III Secondary School,430.8,433.6,0.093,0.196,408,2.35,2.08,0.203,0.257,0.007,0.92,0.265,0.846,0.012,0.434,0.522,0.017,0.766,0.605
2019,9,09X525,Bronx Leadership Academy High School,404.8,418.3,0.007,0.12,565,2.39,2.08,0.198,0.271,0.028,0.94,0.211,0.858,0.005,0.296,0.667,0.014,0.792,0.6
2019,9,09X543,High School for Violin and Dance,402.1,400.9,,0.1,253,2.4,2.13,0.178,0.316,0.051,0.93,0.233,0.854,0.004,0.348,0.628,0.016,0.765,0.583
2019,9,09X564,Claremont International HS,381.5,376.5,,0.012,361,1.84,1.96,0.845,0.072,,0.99,0.454,0.831,0.089,0.188,0.679,0.044,0.858,0.376
2019,9,09X568,Young Women's Leadership School of the Bronx,495.5,504.7,0.313,0.625,285,3.07,3.06,0.046,0.186,0.004,0.8,0.049,0.681,0.028,0.358,0.572,0.011,0.893,0.36
2019,10,10X141,Riverdale / Kingsbridge Academy (Middle School / H,514.7,528.2,0.425,0.631,728,2.93,2.99,0.077,0.206,0.081,0.51,0.084,0.42,0.076,0.102,0.573,0.242,0.924,0.209
2019,10,10X213,Bronx Engineering and Technology Academy,443.9,453.4,0.092,0.286,377,2.57,2.44,0.188,0.244,0.003,0.87,0.18,0.753,0.045,0.284,0.639,0.024,0.788,0.525
2019,10,10X225,Theatre Arts Production Company School,454.2,468.4,0.122,0.415,348,2.72,2.43,0.075,0.25,0.026,0.87,0.141,0.773,0.023,0.253,0.707,0.017,0.837,0.472
2019,10,10X237,"The Marie Curie School for Medicine, Nursing, and",434.3,455.7,0.075,0.325,430,2.64,2.33,0.128,0.235,0.012,0.86,0.177,0.751,0.033,0.288,0.623,0.037,0.79,0.606
2019,10,10X243,West Bronx Academy for the Future,439.6,459.8,0.071,0.271,327,2.67,2.47,0.107,0.26,0.052,0.93,0.171,0.835,0.031,0.162,0.783,0.021,0.858,0.334
2019,10,10X264,Bronx Academy for Software Engineering (BASE),470.6,471.3,0.263,0.384,419,2.74,2.64,0.091,0.279,0.076,0.8,0.119,0.673,0.06,0.27,0.616,0.033,0.849,0.407
2019,10,10X268,Kingsbridge International High School,392.8,377.2,0.014,0.014,491,1.83,1.96,0.872,0.045,,0.98,0.411,0.811,0.033,0.033,0.902,0.026,0.859,0.454
2019,10,10X284,Bronx School of Law and Finance,413.8,421.5,0.038,0.114,369,2.55,2.34,0.217,0.214,0.024,0.89,0.206,0.799,0.011,0.22,0.724,0.033,0.786,0.604
2019,10,10X342,International School for Liberal Arts,417.1,411.9,0.029,0.165,371,2.29,2.23,0.687,0.081,,0.98,0.375,0.814,,0.003,0.997,,0.907,0.268
2019,10,10X351,Bronx Collaborative High School,428.7,454.8,0.099,0.264,587,2.7,2.44,0.191,0.23,0.002,0.86,0.191,0.77,0.034,0.288,0.63,0.034,0.757,0.659
2019,10,10X353,World View High School,413.1,409.3,0.073,0.211,551,2.75,2.6,0.25,0.18,,0.81,0.167,0.695,0.011,0.232,0.717,0.007,0.912,0.288
2019,10,10X368,In-Tech Academy (M.S. / High School 368),487.7,496.6,0.333,0.546,542,2.92,2.57,0.127,0.232,0.039,0.78,0.09,0.69,0.05,0.09,0.793,0.048,0.917,0.27
2019,10,10X374,Knowledge and Power Preparatory Academy Internatio,461.9,472.5,0.179,0.366,464,2.84,2.68,0.11,0.25,0.017,0.85,0.123,0.761,0.022,0.265,0.664,0.028,0.85,0.448
2019,10,10X433,High School for Teaching and the Professions,404.1,413.4,0.06,0.18,414,2.55,2.34,0.263,0.237,0.005,0.93,0.242,0.821,0.027,0.145,0.771,0.046,0.849,0.481
2019,10,10X434,Belmont Preparatory High School,446.3,462.9,0.138,0.368,390,2.7,2.53,0.121,0.233,0.038,0.85,0.123,0.764,0.046,0.218,0.71,0.013,0.889,0.287
2019,10,10X437,Fordham High School for the Arts,499.5,498.3,0.403,0.597,319,3.05,2.81,0.038,0.223,0.006,0.81,0.1,0.702,0.016,0.398,0.555,0.022,0.911,0.253
2019,10,10X438,Fordham Leadership Academy,435.7,450,0.06,0.313,352,2.52,2.26,0.199,0.241,0.003,0.9,0.159,0.798,0.028,0.256,0.696,0.014,0.944,0.139
2019,10,10X439,Bronx High School for Law and Community Service,459.3,467.1,0.181,0.458,402,2.75,2.46,0.129,0.256,0.032,0.88,0.152,0.813,0.012,0.274,0.667,0.025,0.873,0.421
2019,10,10X440,DeWitt Clinton High School,455.5,455.5,0.197,0.315,1119,2.76,2.53,0.148,0.189,0.018,0.84,0.171,0.737,0.106,0.318,0.52,0.032,0.821,0.479
2019,10,10X442,"Celia Cruz Bronx High School of Music, The",447.3,476.8,0.167,0.531,421,2.97,2.74,0.057,0.238,,0.78,0.116,0.677,0.014,0.266,0.66,0.014,0.916,0.286
2019,10,10X445,The Bronx High School of Science,756.7,700.1,0.938,0.937,3016,4.1,4.33,,0.015,,0.39,0.015,0.294,0.648,0.027,0.071,0.222,0.967,0.076
2019,10,10X477,Marble Hill High School for International Studies,511.4,509,0.414,0.622,448,2.89,2.9,0.297,0.134,,0.86,0.205,0.725,0.138,0.15,0.65,0.047,0.93,0.193
2019,10,10X524,Crotona International High School,379.8,362,0.023,,333,1.73,1.85,0.958,0.054,,0.99,0.393,0.778,0.045,0.06,0.877,0.018,0.884,0.264
2019,10,10X546,Bronx Theatre High School,417.3,441.1,0.038,0.228,347,2.61,2.18,0.058,0.233,0.012,0.91,0.196,0.816,0.012,0.323,0.622,0.026,0.804,0.565
2019,10,10X549,Discovery High School,462.7,448.8,0.167,0.275,489,2.55,2.31,0.254,0.252,0.006,0.91,0.192,0.8,0.045,0.166,0.763,0.022,0.891,0.256
2019,10,10X565,High School for Energy and Technology,433.3,434.5,0.095,0.2,406,2.56,2.35,0.143,0.271,0.022,0.89,0.18,0.793,0.039,0.239,0.702,0.012,0.831,0.51
2019,10,10X696,High School of American Studies at Lehman College,715.5,710.7,0.86,0.86,411,4.09,4.26,,0.027,0.002,0.26,0.019,0.168,0.219,0.039,0.105,0.586,0.961,0.09
2019,11,11X249,Bronx Health Sciences High School,494.3,502.3,0.234,0.638,295,2.84,2.64,0.047,0.115,0.003,0.71,0.112,0.59,0.064,0.556,0.322,0.037,0.944,0.164
2019,11,11X253,Bronx High School for Writing and Communication Ar,416.6,430.4,0.021,0.179,317,2.54,2.23,0.155,0.237,,0.82,0.174,0.688,0.047,0.476,0.442,0.022,0.842,0.395
2019,11,11X265,Bronx Lab School,424.1,437.4,0.059,0.208,371,2.52,2.25,0.154,0.305,0.059,0.9,0.181,0.825,0.027,0.348,0.563,0.032,0.806,0.49
2019,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,423.4,435.5,0.057,0.189,368,2.53,2.24,0.052,0.226,0.035,0.78,0.163,0.696,0.016,0.641,0.304,0.019,0.84,0.497
2019,11,11X275,High School of Computers and Technology,451.4,464.7,0.148,0.38,542,2.72,2.56,0.081,0.258,0.03,0.84,0.168,0.734,0.081,0.352,0.535,0.015,0.871,0.323
2019,11,11X288,Collegiate Institute for Math and Science,525,526.1,0.468,0.724,607,3.19,3.12,0.033,0.181,0.015,0.72,0.064,0.603,0.114,0.343,0.404,0.119,0.888,0.285
2019,11,11X290,Bronx Academy of Health Careers,418.1,416.2,0.083,0.19,359,2.61,2.29,0.131,0.214,,0.86,0.223,0.744,0.039,0.418,0.518,0.011,0.9,0.326
2019,11,11X299,Astor Collegiate Academy,453.2,463.4,0.194,0.435,500,2.75,2.56,0.076,0.23,0.012,0.75,0.102,0.636,0.08,0.276,0.49,0.122,0.838,0.425
2019,11,11X418,Bronx High School for the Visual Arts,423.7,438.6,0.043,0.248,461,2.69,2.33,0.061,0.291,,0.79,0.121,0.685,0.037,0.269,0.588,0.095,0.835,0.516
2019,11,11X455,Harry S Truman High School,444.6,456.2,0.106,0.253,2081,2.62,2.3,0.084,0.254,0.11,0.76,0.159,0.665,0.032,0.5,0.42,0.031,0.89,0.253
2019,11,11X508,Bronxdale High School,446.2,466,0.117,0.396,459,2.81,2.53,0.068,0.233,0.002,0.76,0.113,0.643,0.05,0.281,0.571,0.083,0.846,0.514
2019,11,11X509,High School of Language and Innovation,422.6,410.2,0.105,0.147,379,2.03,2.17,0.802,0.045,0.005,0.98,0.269,0.815,0.201,0.058,0.538,0.187,0.902,0.338
2019,11,11X513,New World High School,466.1,431.4,0.203,0.203,381,2.1,2.15,0.688,0.068,0.003,0.94,0.231,0.777,0.097,0.121,0.669,0.11,0.898,0.288
2019,11,11X514,The Bronxwood Preparatory Academy,411,433.8,0.01,0.206,360,2.57,2.15,0.097,0.219,0.006,0.75,0.131,0.653,0.039,0.633,0.261,0.036,0.906,0.291
2019,11,11X542,Pelham Preparatory Academy,463.4,481.1,0.207,0.486,511,2.89,2.61,0.061,0.245,0.002,0.74,0.106,0.63,0.074,0.254,0.55,0.104,0.885,0.344
2019,11,11X544,High School for Contemporary Arts,413.7,418.8,0.082,0.156,395,2.52,2.19,0.172,0.253,0.066,0.88,0.182,0.765,0.018,0.395,0.542,0.035,0.859,0.387
